Date of Sale,Price,Address,City,State,Country
25/05/2018,250000,"2 ALDERWOOD AVE, SPRINGFIELD, TALLAGHT DUBLIN 24, Dublin 24",Dublin,Leinster,Ireland
25/05/2018,423136.54,"24 Wilkins Court, Limekiln Lane, Dublin 12, Dublin 12",Dublin,Leinster,Ireland
25/05/2018,360000,"282 CASHEL RD, CRUMLIN, DUBLIN 12, Dublin 12",Dublin,Leinster,Ireland
25/05/2018,580000,"33 GAINSBOROUGH GREEN, MALAHIDE, DUBLIN",Dublin,Leinster,Ireland
25/05/2018,235000,"63 LARKFIELD GARDENS, HAROLDS CROSS, DUBLIN 6W",Dublin,Leinster,Ireland
25/05/2018,277533.04,"7 Park Grove, Hansfield, Dublin 15, Dublin 15",Dublin,Leinster,Ireland
25/05/2018,165000,"APT 2, 10 RAILWAY ST, BALBRIGGAN",Dublin,Leinster,Ireland
25/05/2018,340000,"APT 9, 64 PEMBROKE RD, DUBLIN 4, Dublin 4",Dublin,Leinster,Ireland
24/05/2018,437000,"128 ST COLUMBANUS RD, MILLTOWN, DUBLIN 14, Dublin 14",Dublin,Leinster,Ireland
24/05/2018,278000,"227 BRANDON RD, DRIMNAGH, DUBLIN 12, Dublin 12",Dublin,Leinster,Ireland
24/05/2018,669604,"25 Boyd Avenue, Honeypark, Dun Laoghaire",Dublin,Leinster,Ireland
24/05/2018,230000,"48 CLEARSTREAM COURT, MCKEE AVENUE, FINGLAS, Dublin 11",Dublin,Leinster,Ireland
23/05/2018,280500,"1 THE DRIVE, MILLBROOK LAWN, TALLAGHT, Dublin 24",Dublin,Leinster,Ireland
23/05/2018,171916.86,"10 WOOD DALE VIEW, BALLYCULLEN, DUBLIN 24, Dublin 24",Dublin,Leinster,Ireland
23/05/2018,380000,"15 AUBREY HOUSE APTS, QUINNS RD, SHANKILL, Dublin 18",Dublin,Leinster,Ireland
23/05/2018,370000,"19 EDENBROOK COURT, BALLYBODEN RD, RATHFARNHAM DUBLIN 14, Dublin 14",Dublin,Leinster,Ireland
23/05/2018,570000,"21 IDRONE DRIVE, KNOCKLYON, DUBLIN 16, Dublin 16",Dublin,Leinster,Ireland
